"Sale Month","Store","ISRC","Title","Earnings (USD)"
"2025-04","Spotify","USISLEM23001","Silent Waves","25.40"
"2025-04","Apple Music","USISLEM23002","Midnight Drive","21.10"
"2025-04","Amazon","USISLEM23003","Echoes in the Rain","18.50"
"2025-04","Spotify","USISLEM23004","Neon Skyline","32.00"
"2025-04","YouTube","USISLEM23005","Fading Lights","28.00"
"2025-04","Spotify","USISLEM23006","Deep Horizon","35.00"
"2025-04","Apple Music","USISLEM23007","Velvet Sky","42.00"
"2025-04","Spotify","USISLEM23008","Amber Sunset","22.00"
"2025-04","Amazon","USISLEM23009","Silver Moon","30.00"
"2025-04","Spotify","USISLEM23010","Starlight Dream","25.00"
"2025-04","Spotify","USISLEM23011","Solitary Beat","18.00"
"2025-04","Spotify","USISLEM23012","Shadow Dance","18.00"
"2025-05","Spotify","USISLEM23001","Silent Waves","25.80"
"2025-05","Apple Music","USISLEM23002","Midnight Drive","21.50"
"2025-05","Amazon","USISLEM23003","Echoes in the Rain","19.00"
"2025-05","Spotify","USISLEM23004","Neon Skyline","33.00"
"2025-05","YouTube","USISLEM23005","Fading Lights","29.00"
"2025-05","Spotify","USISLEM23006","Deep Horizon","36.00"
"2025-05","Apple Music","USISLEM23007","Velvet Sky","43.00"
"2025-05","Spotify","USISLEM23008","Amber Sunset","22.50"
"2025-05","Amazon","USISLEM23009","Silver Moon","30.50"
"2025-05","Spotify","USISLEM23010","Starlight Dream","25.50"
"2025-05","Spotify","USISLEM23011","Solitary Beat","18.20"
"2025-05","Spotify","USISLEM23012","Shadow Dance","18.00"
"2025-06","Spotify","USISLEM23001","Silent Waves","25.50"
"2025-06","Apple Music","USISLEM23002","Midnight Drive","21.00"
"2025-06","Amazon","USISLEM23003","Echoes in the Rain","18.80"
"2025-06","Spotify","USISLEM23004","Neon Skyline","32.50"
"2025-06","YouTube","USISLEM23005","Fading Lights","28.50"
"2025-06","Spotify","USISLEM23006","Deep Horizon","35.50"
"2025-06","Apple Music","USISLEM23007","Velvet Sky","42.50"
"2025-06","Spotify","USISLEM23008","Amber Sunset","22.00"
"2025-06","Amazon","USISLEM23009","Silver Moon","30.20"
"2025-06","Spotify","USISLEM23010","Starlight Dream","25.00"
"2025-06","Spotify","USISLEM23011","Solitary Beat","18.00"
"2025-06","Spotify","USISLEM23012","Shadow Dance","18.00"
"2025-07","Spotify","USISLEM23001","Silent Waves","26.00"
"2025-07","Apple Music","USISLEM23002","Midnight Drive","21.80"
"2025-07","Amazon","USISLEM23003","Echoes in the Rain","19.20"
"2025-07","Spotify","USISLEM23004","Neon Skyline","33.20"
"2025-07","YouTube","USISLEM23005","Fading Lights","29.20"
"2025-07","Spotify","USISLEM23006","Deep Horizon","36.20"
"2025-07","Apple Music","USISLEM23007","Velvet Sky","43.20"
"2025-07","Spotify","USISLEM23008","Amber Sunset","22.80"
"2025-07","Amazon","USISLEM23009","Silver Moon","30.80"
